"Location","Total Distance (km)","Distance (km)","Ascent (m)","Descent (m)","Total Ascent (m)","Total Descent (m)","Notes"
"Riverton","65.5","65.5","501","496","501","496","km 65.6 (TA 3007.6) | FreshChoice/SuperValue on Palmerston St, cafes and takeaways. Holiday park."
"Trail ends - Lake Wakatipu","338.1","272.6","7225","6921","7726","7418","The walking route stops here and starts again 26.5 km away. Crossed by Lake Wakatipu Bypass, published as a bypass with no chainage of its own."
"Queenstown","338.2","0.1","0","3","7726","7420","km 339.5 (TA 2733.7) | FreshChoice, Four Square, outdoor stores. Full gear replacement."
"Lake Hāwea","458.4","120.2","4344","4292","12070","11712","km 459.4 (TA 2613.8) | Sailz general store with cafe, open to 9pm; FreshChoice on Bodkin St; Hawea Hotel for pub food."
"Trail ends - Rangitata River","705.1","246.7","7639","7486","19709","19198","The walking route stops here and starts again 7.0 km away. Crossed by Rangitata River (Hazard Bypass), published as a bypass with no chainage of its own."
"Trail ends - Rakaia River","774.4","69.3","2045","2145","21753","21343","The walking route stops here and starts again 12.6 km away. Crossed by Rakaia River (Hazard Bypass), published as a bypass with no chainage of its own."
"Lake Coleridge Village","774.7","0.2","19","0","21772","21343","km 775.1 (TA 2298.1) | No shops. Powerhouse Lodge holds bounce boxes and has tent sites. Accepts resupply boxes."
"Boyle Village","962.9","188.2","4099","3898","25871","25241","km 964.0 (TA 2109.2) | No shop. Boyle River Outdoor Education Centre holds resupply boxes, sells basic food, beds $50. Accepts resupply boxes."
"St Arnaud","1080.8","117.9","4219","4169","30090","29409","km 1082.7 (TA 1990.5) | General store and 24 hr NPD station; DoC centre sells gas and dehydrated meals. Alpine Lodge holds parcels ($15-30). Expensive. Accepts resupply boxes."
"Pelorus Bridge Campground","1221.8","140.9","8698","9292","38788","38701","km 1222.8 (TA 1850.4) | Category: Serviced | Facilities: Cookers/electric stove, Non-powered/tent sites, Phone, Powered sites, Shelter for cooking, Shower - hot, Wheelchair accessible, Water from tap - treated, suitable for drinking, Toilets - non-flush, Toilets | Bookable: Yes | Booking Required: Yes | Trail Pass: Yes | Trail Pass discount (%): 20 | Place: Pelorus Bridge Scenic Reserve | Region: Marlborough"
"Havelock","1243.1","21.3","45","83","38833","38784","km 1244.2 (TA 1829.1) | Small Four Square, post office, cafes. Havelock Holiday Park accepts food parcels. Accepts resupply boxes."
"Havelock Holiday Park","1243.1","0","0","0","38833","38784","km 1244.2 (TA 1829.0) | Facilities: Accommodation: basic cabins, tent sites, powered caravan/campervan sites, dump station | Address: 24 Inglis Street, Havelock | Phone: 021 082 67068 | Website: https://www.havelockholidaypark.kiwi/#/ | Categories: LodgingBusiness"
"Trail ends - Te Moana O Raukawa","1333.1","90","4999","5002","43832","43786","The walking route stops here and starts again 52.7 km away. Crossed by Picton to Ship Cove - Water Taxi and Te Moana O Raukawa - Ferry Crossing."
"Wellington","1345.7","12.6","498","499","44330","44285","km 1346.9 (TA 1726.3) | Capital: full resupply, gear stores, bulk-food refilleries. End of the North Island. Accepts resupply boxes."
"Paekakariki","1403.6","57.9","2270","2257","46600","46542","km 1404.8 (TA 1668.4) | Dairy/grocery, two fruit and vegetable shops, cafes and a pub."
"Paraparaumu Beach","1415.9","12.3","64","81","46664","46623","km 1416.9 (TA 1656.3) | Cafes, shops and a small supermarket."
"El Rancho","1421.4","5.5","22","13","46686","46636","km 1422.5 (TA 1650.7) | Facilities: Waikanae Christian Holiday park, camping ground, accommodation, conference centre, Zenbu Wi-Fi wireless internet, cheap, no time limit wifi hot-spot. | Address: 58 Weggery Drive,  Waikanae Beach, Kapiti Coast New Zealand | Phone: 64 4 902 6287 | Website: http://www.elrancho.co.nz | Categories: RVPark LodgingBusiness"
"Bulls Motel and Holiday Park","1609","187.6","7600","7572","54286","54207","km 1609.9 (TA 1463.3) | Facilities: Accommodation: motel, tent sites, powered caravan/campervan sites | Address: 2 Bridge Street, Bulls | Phone: (06) 322 0894 | Website: https://www.bullsmotel.co.nz/ | Categories: Motel LodgingBusiness"
"Whanganui","1668.7","59.7","142","161","54427","54368","km 1669.6 (TA 1403.6) | New World, Countdown, Pak'nSave. Kathmandu; Wilsons Hunting and Outdoors stores bounce boxes. Accepts resupply boxes."
"Wanganui Top 10 Holiday Park","1675.6","6.9","0","0","54427","54368","km 1676.5 (TA 1396.7) | Facilities: Holiday park accommodation, motel units, campground, motorhomes, campervans, tent & powered sites | Address: 460 Somme Parade, Upper Aramoho, Wanganui | Phone: (06) 343 8402 | Website: http://www.wrivertop10.co.nz | Categories: RVPark LodgingBusiness"
"Pipiriki","1758.7","83.1","77","57","54504","54425","km 1759.6 (TA 1313.6) | Minimal cafe and shop at the campground. Jetboat transfers."
"National Park (Waimarino)","1879.3","120.7","3598","2836","58102","57261","km 1880.0 (TA 1193.2) | Four Square, well stocked with dehydrated meals and gas. First real shop since Whanganui."
