query	name	type	boxes	notes
Ahipara	Ahipara	resupply	no	Ahipara Superette: groceries and post shop. Cafe closes 2pm. First resupply after Cape Reinga.
Kaitaia	Kaitaia	town	no	Pak'nSave, Bells Produce, two bulk-food shops. 14 km inland from Ahipara; hitch or bus.
Mangamuka Bridge	Mangamuka Bridge Dairy	food	no	Dairy and takeaways on SH1, Mon-Fri 7am-6pm. Phone charging. Snacks only.
Kerikeri	Kerikeri	town	no	New World and Countdown. Full resupply, hostels.
Paihia	Paihia	town	no	Countdown Central plus a larger Countdown at Waitangi. Four Square on Williams Rd.
Opua	Opua	resupply	no	Small general store, expensive. Ferry point.
Whananaki	Whananaki	resupply	no	Whananaki Superette: limited supplies. Holiday park with a hut for TA walkers.
Matapouri	Matapouri	resupply	no	Small general store.
Ngunguru	Ngunguru	resupply	no	Four Square dairy and takeaway, plus cafes. Limited and expensive.
Whangarei	Whangarei	town	no	Countdown and Woolworths, hostels, buses. Inland from the Heads; a detour, not on route.
Ruakaka	Ruakaka	town	no	FreshChoice supermarket and takeaways.
Waipu	Waipu	town	no	Four Square, cafes, hotel with budget rooms. Camp Waipu Cove has a dairy.
Mangawhai Heads	Mangawhai Heads	resupply	no	Four Square at 3 Wood St. Holiday park.
Mangawhai	Mangawhai	town	no	New World 1 km north of the village, plus a Four Square.
Warkworth	Warkworth	town	no	Countdown, New World and a Bin Inn. About 6 km off trail.
Pakiri	Pakiri Beach Holiday Park	resupply	no	Camp store: food, drinks, milk, bread. 9am-5pm summer only.
Puhoi	Puhoi	resupply	no	General store 7am-7pm, historic pub, three cafes.
Orewa	Orewa	town	no	New World and Countdown, cafes, outdoor shops.
Silverdale Auckland	Silverdale	town	no	Silverdale Centre: Woolworths, Macpac, Kathmandu, ATMs.
Browns Bay Auckland	Browns Bay	town	no	New World and Countdown.
Devonport Auckland	Devonport	town	no	New World. Ferry to the city.
Auckland	Auckland CBD	town	no	Full resupply and gear replacement. Metro supermarkets are smaller than suburban ones.
Mangere Bridge Auckland	Mangere Bridge	town	no	FreshChoice, slightly off trail.
Papakura	Papakura	town	no	Pak'nSave, Countdown, New World.
Mercer Waikato	Mercer	food	no	Service centre with food outlets; motel with camping.
Huntly	Huntly	town	no	Woolworths, about 1 km off trail.
Ngaruawahia	Ngaruawahia	town	no	New World and cafes.
Hamilton	Hamilton	town	no	Pak'nSave, Woolworths, Trek N Travel outdoor store. Full gear replacement.
